127.0.0.1 - - [02/Jun/2025:15:55:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:55:43 +0530] "GET /NoteTaker/ HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:55:43 +0530] "GET /NoteTaker/css/style.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:55:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:58:49 +0530] "GET /NoteTaker/ HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:58:53 +0530] "GET /NoteTaker/index.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:58:56 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:59:11 +0530] "GET /NoteTaker/AllNotes.jsp HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [02/Jun/2025:15:59:12 +0530] "GET /NoteTaker/img/icon.png HTTP/1.1" 200 21662
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:00:27 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:02:03 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:02:08 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:02:10 +0530] "GET /NoteTaker/index.jsp HTTP/1.1" 200 3399
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:09:52 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:10:08 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:12:25 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 4100
0:0:0:0:0:0:0:1 - - [02/Jun/2025:16:12:46 +0530] "GET /NoteTaker/AddNotes.jsp HTTP/1.1" 200 2977
